ORDER	LATENCY	ABS
1	13475	13475
2	10522	23997
3	11681	35678
4	10579	46257
5	9655	55912
6	11581	67493
7	8866	76359
8	9215	85574
9	8112	93686
10	7917	101603
11	7653	109256
12	7552	116808
13	7106	123914
14	8527	132441
15	18989	151430
16	13516	164946
17	19812	184758
18	8464	193222
19	8839	202061
20	8313	210374
21	7976	218350
22	7650	226000
23	7533	233533
24	7999	241532
25	7613	249145
26	8136	257281
27	8847	266128
28	8287	274415
29	13526	287941
30	11742	299683
31	7356	307039
32	8419	315458
33	9530	324988
34	7654	332642
35	6999	339641
36	7457	347098
37	8006	355104
38	7414	362518
39	7575	370093
40	7412	377505
41	8451	385956
42	7799	393755
43	6927	400682
44	6761	407443
45	6829	414272
46	7381	421653
47	7839	429492
48	7319	436811
49	6618	443429
50	6928	450357
51	7604	457961
52	12316	470277
53	8874	479151
54	6931	486082
55	6914	492996
56	6339	499335
57	7885	507220
58	8504	515724
59	9550	525274
60	8736	534010
61	8147	542157
62	9356	551513
63	9332	560845
64	7178	568023
65	10253	578276
66	11399	589675
67	6724	596399
68	7380	603779
69	7853	611632
70	7682	619314
71	14857	634171
72	8534	642705
73	8050	650755
74	8335	659090
75	11197	670287
76	9203	679490
77	7468	686958
78	8109	695067
79	8878	703945
80	7881	711826
81	7213	719039
82	7504	726543
83	6565	733108
84	6952	740060
85	7380	747440
86	7055	754495
87	7071	761566
88	6943	768509
89	8323	776832
90	6861	783693
91	6857	790550
92	6768	797318
93	6981	804299
94	6849	811148
95	7853	819001
96	8938	827939
97	8994	836933
98	9100	846033
99	9342	855375
100	7883	863258
101	8055	871313
102	9574	880887
103	7846	888733
104	7124	895857
105	8270	904127
106	8282	912409
107	7570	919979
108	8256	928235
109	7722	935957
110	7770	943727
111	7637	951364
112	7586	958950
113	7505	966455
114	7595	974050
115	8268	982318
116	7864	990182
117	7489	997671
118	7574	1005245
119	7590	1012835
120	7930	1020765
121	7828	1028593
122	8556	1037149
123	7307	1044456
124	8210	1052666
125	8127	1060793
126	9803	1070596
127	6475	1077071
128	6604	1083675
129	6449	1090124
130	6455	1096579
131	8172	1104751
132	6254	1111005
133	6926	1117931
134	7110	1125041
135	6595	1131636
136	7010	1138646
137	6229	1144875
138	7035	1151910
139	7882	1159792
140	6350	1166142
141	6756	1172898
142	10106	1183004
143	7919	1190923
144	6400	1197323
145	7205	1204528
146	7215	1211743
147	7305	1219048
148	7334	1226382
149	7047	1233429
150	7224	1240653
151	7800	1248453
152	7063	1255516
153	7173	1262689
154	7017	1269706
155	7072	1276778
156	7109	1283887
157	7075	1290962
158	7047	1298009
159	6728	1304737
160	7281	1312018
161	7212	1319230
162	6502	1325732
163	7138	1332870
164	7181	1340051
165	8705	1348756
166	9430	1358186
167	8440	1366626
168	10412	1377038
169	10521	1387559
170	9575	1397134
171	8561	1405695
172	7371	1413066
173	6858	1419924
174	6533	1426457
175	7420	1433877
176	6939	1440816
177	6644	1447460
178	7129	1454589
179	8073	1462662
180	8107	1470769
181	8748	1479517
182	9372	1488889
183	9481	1498370
184	15481	1513851
185	16261	1530112
186	13780	1543892
187	10089	1553981
188	7840	1561821
189	7646	1569467
190	6399	1575866
191	6314	1582180
192	8343	1590523
193	6281	1596804
194	6224	1603028
195	6227	1609255
196	6391	1615646
197	6941	1622587
198	6593	1629180
199	7484	1636664
200	7413	1644077
201	7174	1651251
202	6521	1657772
203	6306	1664078
204	6234	1670312
205	6625	1676937
206	6737	1683674
207	6364	1690038
208	7229	1697267
209	6384	1703651
210	6307	1709958
211	6496	1716454
212	6829	1723283
213	6713	1729996
214	6408	1736404
215	7191	1743595
216	6392	1749987
217	6375	1756362
218	6303	1762665
219	7583	1770248
220	6405	1776653
221	6627	1783280
222	6406	1789686
223	6523	1796209
224	6854	1803063
225	6750	1809813
226	6784	1816597
227	7283	1823880
228	6407	1830287
229	6518	1836805
230	7352	1844157
231	6373	1850530
232	6439	1856969
233	7882	1864851
234	6414	1871265
235	9902	1881167
236	8070	1889237
237	8174	1897411
238	9001	1906412
239	9681	1916093
240	8426	1924519
241	7728	1932247
242	7552	1939799
243	6923	1946722
244	12738	1959460
245	6453	1965913
246	7550	1973463
247	13582	1987045
248	6894	1993939
249	6796	2000735
250	6185	2006920
251	6229	2013149
252	6820	2019969
253	6827	2026796
254	8736	2035532
255	8060	2043592
256	6705	2050297
257	6665	2056962
258	11373	2068335
259	14595	2082930
260	10530	2093460
261	8716	2102176
262	7579	2109755
263	9009	2118764
264	7616	2126380
265	7451	2133831
266	7661	2141492
267	7903	2149395
268	7780	2157175
269	6522	2163697
270	6371	2170068
271	6999	2177067
272	6535	2183602
273	6392	2189994
274	6451	2196445
275	6915	2203360
276	6675	2210035
277	6553	2216588
278	6538	2223126
279	6976	2230102
280	9003	2239105
281	7217	2246322
282	6731	2253053
283	7129	2260182
284	7121	2267303
285	6761	2274064
286	6793	2280857
287	6716	2287573
288	13444	2301017
289	9869	2310886
290	14694	2325580
291	18578	2344158
292	31366	2375524
293	15005	2390529
294	10363	2400892
295	25920	2426812
296	8203	2435015
297	7920	2442935
298	8399	2451334
299	8161	2459495
300	8142	2467637
301	7854	2475491
302	7697	2483188
303	8198	2491386
304	7633	2499019
305	8757	2507776
306	7853	2515629
307	8439	2524068
308	7643	2531711
309	8069	2539780
310	8892	2548672
311	7592	2556264
312	7681	2563945
313	7573	2571518
314	7942	2579460
315	7370	2586830
316	11250	2598080
317	10157	2608237
318	8958	2617195
319	10922	2628117
320	9395	2637512
321	8087	2645599
322	10743	2656342
323	8883	2665225
324	12373	2677598
325	9455	2687053
326	9126	2696179
327	9263	2705442
328	8977	2714419
329	10890	2725309
330	9100	2734409
331	8525	2742934
332	9239	2752173
333	11444	2763617
334	8965	2772582
335	8118	2780700
336	7278	2787978
337	7683	2795661
338	9093	2804754
339	8469	2813223
340	10167	2823390
341	7629	2831019
342	7493	2838512
343	7589	2846101
344	7502	2853603
345	7398	2861001
346	7475	2868476
347	7447	2875923
348	7534	2883457
349	11023	2894480
350	11359	2905839
351	16976	2922815
352	11761	2934576
353	13033	2947609
354	21051	2968660
355	15600	2984260
356	8367	2992627
357	7583	3000210
358	7948	3008158
359	8085	3016243
360	9066	3025309
361	8325	3033634
362	9731	3043365
363	11057	3054422
364	10791	3065213
365	11249	3076462
366	11344	3087806
367	7378	3095184
368	7668	3102852
369	8432	3111284
370	7882	3119166
371	8286	3127452
372	8390	3135842
373	8353	3144195
374	8277	3152472
375	9042	3161514
376	9007	3170521
377	7708	3178229
378	7470	3185699
379	7822	3193521
380	7643	3201164
381	7818	3208982
382	7417	3216399
383	8780	3225179
384	8022	3233201
385	7967	3241168
386	8036	3249204
387	7988	3257192
388	7949	3265141
389	7795	3272936
390	7923	3280859
391	7849	3288708
392	8082	3296790
393	8038	3304828
394	7531	3312359
395	8897	3321256
396	7811	3329067
397	7823	3336890
398	7839	3344729
399	7882	3352611
400	9371	3361982
401	8603	3370585
402	9056	3379641
403	9500	3389141
404	8189	3397330
405	7603	3404933
406	7615	3412548
407	9702	3422250
408	7549	3429799
409	8899	3438698
410	8346	3447044
411	7330	3454374
412	8136	3462510
413	8538	3471048
414	8148	3479196
415	7332	3486528
416	8529	3495057
417	8176	3503233
418	8611	3511844
419	8806	3520650
420	9543	3530193
421	8325	3538518
422	7222	3545740
423	6933	3552673
424	7357	3560030
425	11166	3571196
426	11151	3582347
427	12673	3595020
428	9467	3604487
429	8631	3613118
430	10838	3623956
431	8657	3632613
432	7506	3640119
433	8972	3649091
434	7764	3656855
435	6859	3663714
436	8252	3671966
437	7543	3679509
438	9996	3689505
439	8234	3697739
440	7572	3705311
441	7613	3712924
442	6742	3719666
443	8589	3728255
444	8036	3736291
445	6679	3742970
446	9244	3752214
447	7756	3759970
448	7698	3767668
449	7454	3775122
450	8048	3783170
451	6737	3789907
452	6604	3796511
453	6847	3803358
454	7798	3811156
455	8451	3819607
456	9179	3828786
457	8462	3837248
458	9392	3846640
459	7094	3853734
460	8094	3861828
461	8234	3870062
462	8294	3878356
463	6756	3885112
464	7119	3892231
465	6671	3898902
466	6568	3905470
467	6933	3912403
468	6731	3919134
469	9139	3928273
470	8040	3936313
471	15156	3951469
472	7669	3959138
473	6566	3965704
474	6899	3972603
475	7334	3979937
476	7380	3987317
477	7199	3994516
478	7916	4002432
479	14065	4016497
480	7335	4023832
481	8110	4031942
482	7263	4039205
483	6579	4045784
484	6846	4052630
485	6556	4059186
486	7627	4066813
487	7266	4074079
488	8091	4082170
489	8874	4091044
490	8068	4099112
491	9274	4108386
492	8044	4116430
493	7924	4124354
494	8299	4132653
495	10448	4143101
496	10382	4153483
497	9288	4162771
498	7810	4170581
499	7520	4178101
500	6716	4184817
501	8110	4192927
502	11330	4204257
503	10744	4215001
504	6888	4221889
505	7751	4229640
506	6885	4236525
507	8239	4244764
508	8480	4253244
509	7899	4261143
510	8451	4269594
511	8354	4277948
512	8238	4286186
513	7059	4293245
514	8556	4301801
515	9293	4311094
516	8323	4319417
517	8518	4327935
518	8317	4336252
519	7349	4343601
520	7283	4350884
521	9099	4359983
522	19724	4379707
523	7973	4387680
524	15097	4402777
525	7072	4409849
526	11028	4420877
527	10671	4431548
528	10387	4441935
529	9657	4451592
530	10520	4462112
531	9679	4471791
532	9766	4481557
533	9306	4490863
534	7277	4498140
535	7500	4505640
536	6729	4512369
537	8512	4520881
538	9292	4530173
539	11394	4541567
540	8158	4549725
541	8339	4558064
542	7606	4565670
543	9143	4574813
544	9960	4584773
545	9672	4594445
546	11260	4605705
547	7765	4613470
548	8170	4621640
549	6543	4628183
550	7106	4635289
551	7671	4642960
552	6485	4649445
553	8529	4657974
554	6948	4664922
555	7159	4672081
556	6742	4678823
557	7198	4686021
558	7556	4693577
559	6476	4700053
560	6651	4706704
561	7308	4714012
562	8389	4722401
563	8407	4730808
564	7931	4738739
565	10787	4749526
566	10579	4760105
567	12896	4773001
568	11279	4784280
569	10250	4794530
570	9798	4804328
571	9966	4814294
572	8248	4822542
573	9791	4832333
574	9646	4841979
575	9177	4851156
576	8094	4859250
577	7801	4867051
578	7977	4875028
579	7665	4882693
580	7990	4890683
581	8217	4898900
582	8905	4907805
583	7682	4915487
584	7558	4923045
585	7476	4930521
586	7106	4937627
587	7688	4945315
588	7665	4952980
589	7273	4960253
590	7031	4967284
591	10001	4977285
592	8107	4985392
593	8081	4993473
594	8202	5001675
595	7596	5009271
596	8886	5018157
597	7241	5025398
598	7927	5033325
599	7318	5040643
600	6835	5047478
601	7583	5055061
602	7090	5062151
603	9067	5071218
604	13673	5084891
605	9068	5093959
606	9111	5103070
607	7944	5111014
608	9203	5120217
609	10941	5131158
610	8207	5139365
611	11708	5151073
612	7953	5159026
613	8390	5167416
614	9522	5176938
615	6999	5183937
616	6708	5190645
617	7750	5198395
618	6633	5205028
619	8814	5213842
620	6446	5220288
621	6852	5227140
622	6818	5233958
623	6975	5240933
624	8977	5249910
625	9638	5259548
626	10986	5270534
627	8998	5279532
628	7755	5287287
629	9523	5296810
630	8291	5305101
631	8118	5313219
632	7986	5321205
633	7779	5328984
634	7795	5336779
635	9215	5345994
636	8447	5354441
637	9041	5363482
638	8179	5371661
639	8546	5380207
640	8517	5388724
641	6344	5395068
642	6368	5401436
643	6452	5407888
644	6893	5414781
645	7094	5421875
646	6894	5428769
647	6699	5435468
648	6598	5442066
649	6445	5448511
650	7139	5455650
651	6524	5462174
652	6741	5468915
653	7541	5476456
654	7758	5484214
655	7886	5492100
656	7984	5500084
657	6607	5506691
658	6925	5513616
659	7244	5520860
660	6417	5527277
661	6554	5533831
662	6456	5540287
663	8205	5548492
664	9737	5558229
665	6398	5564627
666	7357	5571984
667	7896	5579880
668	6689	5586569
669	6232	5592801
670	6144	5598945
671	6298	5605243
672	7960	5613203
673	6396	5619599
674	6299	5625898
675	7099	5632997
676	6552	5639549
677	7305	5646854
678	6844	5653698
679	6380	5660078
680	6566	5666644
681	6819	5673463
682	6766	5680229
683	6309	5686538
684	8015	5694553
685	6827	5701380
