ORDER	LATENCY	ABS
1	46030	46030
2	4193	50223
3	4025	54248
4	5352	59600
5	3005	62605
6	6077	68682
7	3193	71875
8	2941	74816
9	3150	77966
10	2731	80697
11	2674	83371
12	2598	85969
13	2607	88576
14	3338	91914
15	2591	94505
16	2512	97017
17	2646	99663
18	2725	102388
19	2675	105063
20	4285	109348
21	2813	112161
22	3638	115799
23	3560	119359
24	3780	123139
25	2915	126054
26	2599	128653
27	3346	131999
28	3699	135698
29	2700	138398
30	2553	140951
31	2447	143398
32	2582	145980
33	2626	148606
34	3056	151662
35	2529	154191
36	2448	156639
37	2510	159149
38	2407	161556
39	2588	164144
40	2536	166680
41	2866	169546
42	2542	172088
43	2858	174946
44	3338	178284
45	2439	180723
46	2510	183233
47	2836	186069
48	2399	188468
49	2716	191184
50	2362	193546
51	2352	195898
52	2352	198250
53	2533	200783
54	2447	203230
55	2310	205540
56	2325	207865
57	2865	210730
58	2227	212957
59	2281	215238
60	2243	217481
61	2174	219655
62	2283	221938
63	2556	224494
64	2103	226597
65	2115	228712
66	2292	231004
67	2133	233137
68	2153	235290
69	2551	237841
70	2080	239921
71	3356	243277
72	3408	246685
73	3452	250137
74	2628	252765
75	2696	255461
76	3299	258760
77	2436	261196
78	3390	264586
79	3376	267962
80	3631	271593
81	4020	275613
82	3320	278933
83	3497	282430
84	4226	286656
85	2415	289071
86	3179	292250
87	3176	295426
88	2360	297786
89	3151	300937
90	3232	304169
91	2223	306392
92	3174	309566
93	2353	311919
94	2919	314838
95	2602	317440
96	2168	319608
97	2088	321696
98	2129	323825
99	3009	326834
100	2173	329007
101	2176	331183
102	2129	333312
103	2271	335583
104	2481	338064
105	2293	340357
106	3162	343519
107	2548	346067
108	2243	348310
109	2503	350813
110	2185	352998
111	2100	355098
112	2092	357190
113	2184	359374
114	2085	361459
115	2146	363605
116	2101	365706
117	2097	367803
118	2234	370037
119	2212	372249
120	2096	374345
121	2081	376426
122	2225	378651
123	2042	380693
124	2408	383101
125	2085	385186
126	2141	387327
127	2178	389505
128	2188	391693
129	2269	393962
130	3020	396982
131	2931	399913
132	3277	403190
133	2307	405497
134	2124	407621
135	2052	409673
136	2127	411800
137	2083	413883
138	2113	415996
139	2466	418462
140	2151	420613
141	2181	422794
142	2128	424922
143	1913	426835
144	2097	428932
145	2121	431053
146	2044	433097
147	1962	435059
148	1915	436974
149	1965	438939
150	2158	441097
151	1972	443069
152	1999	445068
153	2014	447082
154	2068	449150
155	2063	451213
156	2186	453399
157	2035	455434
158	2019	457453
159	2069	459522
160	2296	461818
161	2205	464023
162	2264	466287
163	2148	468435
164	2352	470787
165	2221	473008
166	2114	475122
167	2232	477354
168	2174	479528
169	2115	481643
170	2078	483721
171	2125	485846
172	2019	487865
173	2139	490004
174	2471	492475
175	3297	495772
176	2372	498144
177	3337	501481
178	2557	504038
179	2413	506451
180	2638	509089
181	3151	512240
182	3753	515993
183	2866	518859
184	2145	521004
185	2203	523207
186	2651	525858
187	2264	528122
188	2052	530174
189	2052	532226
190	2236	534462
191	2161	536623
192	2110	538733
193	2227	540960
194	2093	543053
195	2081	545134
196	2093	547227
197	3080	550307
198	4513	554820
199	3635	558455
200	2621	561076
201	2482	563558
202	4232	567790
203	2084	569874
204	2027	571901
205	1977	573878
206	2103	575981
207	2060	578041
208	2056	580097
209	1964	582061
210	2104	584165
211	2095	586260
212	1986	588246
213	1950	590196
214	1995	592191
215	1953	594144
216	2076	596220
217	1944	598164
218	1940	600104
219	1935	602039
220	1883	603922
221	1943	605865
222	1978	607843
223	1966	609809
224	2045	611854
225	2059	613913
226	2153	616066
227	2191	618257
228	2037	620294
229	2006	622300
230	1934	624234
231	2058	626292
232	2016	628308
233	2060	630368
234	2034	632402
235	2014	634416
236	2021	636437
237	2039	638476
238	2165	640641
239	2197	642838
240	3113	645951
241	2534	648485
242	2163	650648
243	2812	653460
244	2122	655582
245	2017	657599
246	2035	659634
247	2166	661800
248	2170	663970
249	2517	666487
250	2075	668562
251	1972	670534
252	2065	672599
253	2043	674642
254	2088	676730
255	1929	678659
256	2667	681326
257	2032	683358
258	2047	685405
259	3031	688436
260	2938	691374
261	2532	693906
262	2426	696332
263	2165	698497
264	2281	700778
265	2045	702823
266	1919	704742
267	2098	706840
268	1946	708786
269	2086	710872
270	2028	712900
271	2064	714964
272	1919	716883
273	2021	718904
274	1986	720890
275	4065	724955
276	2765	727720
277	2155	729875
278	2160	732035
279	2154	734189
280	2103	736292
281	7623	743915
282	11679	755594
283	20548	776142
284	4149	780291
285	3356	783647
286	3266	786913
287	4043	790956
288	4691	795647
289	3122	798769
290	3052	801821
291	3203	805024
292	3024	808048
293	3096	811144
294	3148	814292
295	3023	817315
296	3120	820435
297	3172	823607
298	3165	826772
299	3295	830067
300	3117	833184
301	2923	836107
302	2220	838327
303	2178	840505
304	3089	843594
305	3177	846771
306	3239	850010
307	3388	853398
308	3212	856610
309	5250	861860
310	3402	865262
311	3132	868394
312	3376	871770
313	3867	875637
314	2736	878373
315	4654	883027
316	5206	888233
317	2224	890457
318	3192	893649
319	2966	896615
320	3323	899938
321	3253	903191
322	3129	906320
323	3150	909470
324	3042	912512
325	2947	915459
326	3081	918540
327	2984	921524
328	3100	924624
329	3037	927661
330	3085	930746
331	6918	937664
332	7751	945415
333	4692	950107
334	4228	954335
335	5705	960040
336	3811	963851
337	3305	967156
338	10244	977400
339	3376	980776
340	3481	984257
341	3488	987745
342	3399	991144
343	5656	996800
344	3391	1000191
