ORDER	LATENCY	ABS
1	104818	104818
2	15958	120776
3	12711	133487
4	10678	144165
5	11903	156068
6	10938	167006
7	10427	177433
8	10169	187602
9	11584	199186
10	11947	211133
11	11096	222229
12	10331	232560
13	9979	242539
14	9030	251569
15	9600	261169
16	9554	270723
17	9427	280150
18	9194	289344
19	10473	299817
20	8695	308512
21	8482	316994
22	8437	325431
23	8398	333829
24	9133	342962
25	8822	351784
26	15669	367453
27	16206	383659
28	7920	391579
29	12750	404329
30	16497	420826
31	10688	431514
32	9564	441078
33	8125	449203
34	8263	457466
35	8570	466036
36	8050	474086
37	12578	486664
38	21214	507878
39	9837	517715
40	16507	534222
41	9001	543223
42	26118	569341
43	8596	577937
44	7295	585232
45	8148	593380
46	6692	600072
47	7632	607704
48	7695	615399
49	7099	622498
50	6809	629307
51	6699	636006
52	6241	642247
53	6791	649038
54	8224	657262
55	7478	664740
56	7794	672534
57	8376	680910
58	7219	688129
59	6850	694979
60	6616	701595
61	7406	709001
62	7979	716980
63	7550	724530
64	7212	731742
65	6509	738251
66	6649	744900
67	7180	752080
68	6962	759042
69	9713	768755
70	7627	776382
71	6832	783214
72	6675	789889
73	6393	796282
74	7314	803596
75	6540	810136
76	7052	817188
77	7643	824831
78	6734	831565
79	6661	838226
80	6253	844479
81	6271	850750
82	6032	856782
83	7857	864639
84	6544	871183
85	6227	877410
86	6973	884383
87	6214	890597
88	6663	897260
89	6792	904052
90	6621	910673
91	6614	917287
92	9186	926473
93	7996	934469
94	7888	942357
95	9596	951953
96	8761	960714
97	9296	970010
98	8721	978731
99	9308	988039
100	7733	995772
101	8578	1004350
102	8014	1012364
103	8227	1020591
104	7505	1028096
105	7070	1035166
106	6903	1042069
107	8511	1050580
108	10194	1060774
109	8051	1068825
110	8824	1077649
111	10654	1088303
112	8800	1097103
113	7065	1104168
114	7332	1111500
115	8468	1119968
116	8538	1128506
117	10747	1139253
118	9359	1148612
119	10148	1158760
120	9148	1167908
121	23872	1191780
122	10546	1202326
123	8736	1211062
124	7775	1218837
125	10165	1229002
126	9381	1238383
127	8141	1246524
128	10013	1256537
129	9062	1265599
130	7634	1273233
131	7833	1281066
