ORDER	LATENCY	ABS
1	226314	226314
2	197356	423670
3	201111	624781
4	232462	857243
5	249508	1106751
6	324024	1430775
7	346828	1777603
8	406245	2183848
9	448130	2631978
10	466492	3098470
11	480250	3578720
12	507409	4086129
13	543919	4630048
14	596622	5226670
15	597503	5824173
16	617991	6442164
17	640811	7082975
18	660537	7743512
19	657660	8401172
20	679242	9080414
21	692585	9772999
22	687039	10460038
23	691369	11151407
24	764528	11915935
25	790841	12706776
26	803034	13509810
27	828569	14338379
28	931706	15270085
29	928841	16198926
30	926610	17125536
31	946301	18071837
32	1040189	19112026
33	1038686	20150712
34	1036347	21187059
35	1041975	22229034
36	1106777	23335811
37	1117530	24453341
38	1115154	25568495
39	1160186	26728681
40	1218717	27947398
41	1277971	29225369
42	1275613	30500982
43	1283417	31784399
44	1315295	33099694
45	1323118	34422812
46	1376524	35799336
47	1396644	37195980
48	1430671	38626651
49	1444176	40070827
50	1508299	41579126
51	1569655	43148781
52	1590502	44739283
53	1656491	46395774
54	1680153	48075927
55	1681491	49757418
56	1716431	51473849
57	1741236	53215085
58	1791619	55006704
59	1794925	56801629
60	1793092	58594721
61	1837980	60432701
62	1878921	62311622
63	1896391	64208013
64	1941084	66149097
65	1982849	68131946
66	1984071	70116017
67	2029542	72145559
68	2039880	74185439
69	2041914	76227353
70	2095756	78323109
71	2151776	80474885
72	2150873	82625758
73	2153689	84779447
74	2176387	86955834
75	2241144	89196978
76	2239022	91436000
77	2334009	93770009
78	2357262	96127271
79	2360872	98488143
80	2358404	100846547
81	2354923	103201470
82	2364777	105566247
83	2392352	107958599
84	2414710	110373309
85	2423316	112796625
86	2448413	115245038
87	2463915	117708953
88	2488740	120197693
89	2510025	122707718
90	2532989	125240707
91	2551365	127792072
92	2565564	130357636
93	2594608	132952244
94	2612944	135565188
95	2637372	138202560
96	2652558	140855118
97	2669513	143524631
98	2695794	146220425
99	2713328	148933753
100	2756387	151690140
101	2764820	154454960
102	2801513	157256473
103	2851387	160107860
104	2868341	162976201
105	2880404	165856605
106	2892480	168749085
107	2950035	171699120
108	2995227	174694347
109	3018906	177713253
110	3055360	180768613
111	3053287	183821900
112	3055504	186877404
113	3067760	189945164
114	3073878	193019042
115	3070022	196089064
116	3091564	199180628
117	3096923	202277551
118	3119838	205397389
119	3168817	208566206
120	3166776	211732982
121	3232305	214965287
122	3230264	218195551
123	3228042	221423593
124	3225601	224649194
125	3257750	227906944
126	3255561	231162505
127	3259042	234421547
128	3278064	237699611
129	3293883	240993494
130	3302108	244295602
131	3314431	247610033
132	3332508	250942541
133	3349267	254291808
134	3386161	257677969
135	3383862	261061831
136	3399811	264461642
137	3454482	267916124
138	3452523	271368647
139	3450454	274819101
140	3448268	278267369
141	3454966	281722335
142	3474521	285196856
143	3489993	288686849
144	3511925	292198774
145	3529536	295728310
146	3551147	299279457
147	3571712	302851169
148	3590691	306441860
149	3660903	310102763
150	3658546	313761309
151	3670683	317431992
152	3668623	321100615
153	3666221	324766836
154	3672103	328438939
155	3670780	332109719
156	3683899	335793618
157	3699661	339493279
158	3703533	343196812
159	3716997	346913809
160	3731472	350645281
161	3743332	354388613
162	3756122	358144735
163	3775700	361920435
164	3775602	365696037
165	3822557	369518594
166	3820485	373339079
167	3823613	377162692
168	3842285	381004977
169	3854142	384859119
170	3862340	388721459
171	3884876	392606335
172	3896246	396502581
173	3908996	400411577
174	3929705	404341282
175	3947389	408288671
176	3983891	412272562
177	4016781	416289343
178	4041282	420330625
179	4064789	424395414
180	4142875	428538289
181	4140802	432679091
182	4138995	436818086
183	4142955	440961041
184	4158164	445119205
185	4177456	449296661
186	4206285	453502946
187	4238335	457741281
188	4236217	461977498
189	4244450	466221948
190	4279531	470501479
191	4320356	474821835
192	4347165	479169000
193	4345107	483514107
194	4349045	487863152
195	4346962	492210114
196	4360878	496570992
197	4375672	500946664
198	4392487	505339151
199	4404479	509743630
200	4417573	514161203
201	4431428	518592631
202	4441019	523033650
203	4460580	527494230
204	4474449	531968679
205	4491401	536460080
206	4489306	540949386
207	4497426	545446812
208	4509455	549956267
209	4566431	554522698
210	4573279	559095977
211	4576806	563672783
212	4580116	568252899
213	4588578	572841477
214	4602269	577443746
215	4617801	582061547
216	4634350	586695897
217	4659894	591355791
218	4686153	596041944
219	4702180	600744124
220	4714299	605458423
221	4729975	610188398
222	4741553	614929951
223	4744724	619674675
224	4758470	624433145
225	4770272	629203417
226	4794428	633997845
227	4808600	638806445
228	4827137	643633582
229	4843861	648477443
230	4855594	653333037
231	4872153	658205190
232	4888883	663094073
233	4905491	667999564
234	4923269	672922833
235	4950425	677873258
236	4957241	682830499
237	4972253	687802752
238	4999021	692801773
239	5011395	697813168
240	5026858	702840026
241	5048883	707888909
242	5071167	712960076
243	5069737	718029813
244	5093000	723122813
245	5105840	728228653
246	5114319	733342972
247	5187307	738530279
248	5188896	743719175
249	5187015	748906190
250	5206044	754112234
251	5207648	759319882
252	5227333	764547215
253	5241405	769788620
254	5282650	775071270
255	5307491	780378761
256	5305496	785684257
257	5303491	790987748
258	5317920	796305668
259	5321461	801627129
260	5323492	806950621
261	5340572	812291193
262	5407952	817699145
263	5413468	823112613
264	5470728	828583341
265	5468752	834052093
266	5466116	839518209
267	5463996	844982205
268	5471770	850453975
269	5476320	855930295
270	5541192	861471487
271	5550769	867022256
272	5553042	872575298
273	5572743	878148041
274	5594822	883742863
275	5622142	889365005
276	5647767	895012772
277	5659691	900672463
278	5676592	906349055
279	5691620	912040675
280	5710103	917750778
281	5719330	923470108
282	5734017	929204125
283	5754613	934958738
284	5754174	940712912
285	5773989	946486901
286	5801401	952288302
287	5817374	958105676
288	5830306	963935982
289	5861017	969796999
290	5881206	975678205
291	5895730	981573935
292	5908105	987482040
293	5919842	993401882
294	5943692	999345574
295	5963152	1005308726
296	5960871	1011269597
297	5968276	1017237873
298	5981872	1023219745
299	5996354	1029216099
300	6018312	1035234411
301	6031843	1041266254
302	6051396	1047317650
303	6065734	1053383384
304	6091075	1059474459
305	6108483	1065582942
306	6117201	1071700143
307	6140731	1077840874
308	6152510	1083993384
309	6178382	1090171766
310	6183188	1096354954
311	6199649	1102554603
312	6206130	1108760733
313	6213955	1114974688
314	6233155	1121207843
315	6253286	1127461129
316	6269243	1133730372
317	6270608	1140000980
318	6298116	1146299096
319	6297754	1152596850
320	6298014	1158894864
321	6322970	1165217834
322	6340655	1171558489
323	6353502	1177911991
324	6380593	1184292584
325	6401155	1190693739
326	6420807	1197114546
327	6442175	1203556721
328	6449147	1210005868
329	6504939	1216510807
330	6502928	1223013735
331	6500232	1229513967
332	6499327	1236013294
333	6521115	1242534409
334	6573378	1249107787
335	6580465	1255688252
336	6600660	1262288912
337	6598631	1268887543
338	6617416	1275504959
339	6633266	1282138225
340	6650475	1288788700
341	6666693	1295455393
342	6688702	1302144095
343	6706007	1308850102
344	6717030	1315567132
345	6734361	1322301493
346	6743943	1329045436
347	6762034	1335807470
348	6778837	1342586307
349	6793847	1349380154
350	6810905	1356191059
351	6844758	1363035817
352	6885010	1369920827
353	6923524	1376844351
354	6965394	1383809745
355	6974628	1390784373
356	6985771	1397770144
357	7001437	1404771581
358	7027576	1411799157
359	7043175	1418842332
360	7052774	1425895106
361	7069509	1432964615
362	7075594	1440040209
363	7092012	1447132221
364	7111110	1454243331
365	7179281	1461422612
366	7177294	1468599906
367	7175051	1475774957
368	7172912	1482947869
369	7170941	1490118810
370	7207054	1497325864
371	7270456	1504596320
372	7299958	1511896278
373	7321972	1519218250
374	7346498	1526564748
375	7370141	1533934889
376	7398488	1541333377
377	7406149	1548739526
378	7419080	1556158606
379	7436275	1563594881
380	7463960	1571058841
381	7481270	1578540111
382	7505681	1586045792
383	7522574	1593568366
384	7558413	1601126779
385	7578769	1608705548
386	7599793	1616305341
387	7622114	1623927455
388	7651636	1631579091
389	7660560	1639239651
390	7692556	1646932207
391	7703529	1654635736
392	7710626	1662346362
393	7734108	1670080470
394	7742676	1677823146
395	7766542	1685589688
396	7784973	1693374661
397	7802444	1701177105
398	7818389	1708995494
399	7834033	1716829527
400	7856153	1724685680
401	7879918	1732565598
402	7899419	1740465017
403	7922155	1748387172
404	7936634	1756323806
405	7946034	1764269840
406	7966030	1772235870
407	7975343	1780211213
408	7990804	1788202017
409	8007376	1796209393
410	8021708	1804231101
411	8039242	1812270343
412	8047137	1820317480
413	8069596	1828387076
414	8067661	1836454737
415	8082473	1844537210
416	8103418	1852640628
417	8127103	1860767731
418	8151211	1868918942
419	8175182	1877094124
420	8198301	1885292425
421	8219576	1893512001
422	8237018	1901749019
423	8265993	1910015012
424	8288094	1918303106
425	8304773	1926607879
426	8325030	1934932909
427	8344848	1943277757
428	8369153	1951646910
429	8417341	1960064251
430	8414669	1968478920
431	8411835	1976890755
432	8428756	1985319511
433	8446304	1993765815
434	8472773	2002238588
435	8490673	2010729261
436	8510682	2019239943
437	8526007	2027765950
438	8544679	2036310629
439	8561789	2044872418
440	8591716	2053464134
441	8595278	2062059412
442	8672750	2070732162
443	8670669	2079402831
444	8689609	2088092440
445	8704405	2096796845
446	8725696	2105522541
447	8744646	2114267187
448	8770673	2123037860
449	8791022	2131828882
450	8812311	2140641193
451	8829859	2149471052
452	8848832	2158319884
453	8871410	2167191294
454	8890083	2176081377
