ORDER	LATENCY	ABS
1	101825	101825
2	85191	187016
3	80721	267737
4	77340	345077
5	73955	419032
6	71248	490280
7	68144	558424
8	65335	623759
9	62572	686331
10	59701	746032
11	56809	802841
12	53865	856706
13	51098	907804
14	48430	956234
15	45437	1001671
16	42996	1044667
17	40543	1085210
18	38049	1123259
19	41235	1164494
20	38663	1203157
21	36444	1239601
22	36272	1275873
23	43884	1319757
24	39464	1359221
25	36922	1396143
26	34269	1430412
27	31343	1461755
28	25684	1487439
29	27755	1515194
30	25149	1540343
31	22645	1562988
32	25187	1588175
33	22707	1610882
34	23151	1634033
35	18436	1652469
36	29006	1681475
37	27404	1708879
38	25210	1734089
39	30343	1764432
40	27995	1792427
41	25189	1817616
42	28755	1846371
43	26741	1873112
44	24115	1897227
45	21779	1919006
46	20989	1939995
47	17746	1957741
48	15761	1973502
49	15550	1989052
50	25921	2014973
51	23152	2038125
52	30067	2068192
53	27477	2095669
54	24981	2120650
55	22555	2143205
56	19921	2163126
57	22760	2185886
58	37612	2223498
59	42665	2266163
60	39630	2305793
61	37444	2343237
62	35442	2378679
63	33528	2412207
64	31128	2443335
65	28814	2472149
66	26533	2498682
67	23945	2522627
68	21589	2544216
69	53328	2597544
70	51570	2649114
71	49387	2698501
72	47616	2746117
73	45890	2792007
74	44151	2836158
75	42408	2878566
76	40515	2919081
77	14213	2933294
78	14369	2947663
79	13270	2960933
80	10993	2971926
81	19691	2991617
82	17276	3008893
83	17314	3026207
84	15870	3042077
85	13576	3055653
86	18528	3074181
87	16319	3090500
88	14126	3104626
89	30174	3134800
90	27807	3162607
91	29295	3191902
92	27149	3219051
93	25135	3244186
94	22839	3267025
95	20740	3287765
96	18309	3306074
97	19943	3326017
98	17903	3343920
99	15866	3359786
100	13707	3373493
101	20578	3394071
102	18442	3412513
103	23459	3435972
104	20703	3456675
105	18594	3475269
106	24757	3500026
107	30926	3530952
108	29104	3560056
109	27156	3587212
110	25043	3612255
111	23132	3635387
112	22704	3658091
113	19112	3677203
114	16913	3694116
115	14744	3708860
116	21900	3730760
117	20180	3750940
118	25293	3776233
119	28632	3804865
120	28073	3832938
121	26010	3858948
122	25706	3884654
123	23962	3908616
124	22041	3930657
125	19837	3950494
126	17766	3968260
127	15436	3983696
128	13284	3996980
129	18361	4015341
130	23993	4039334
131	22512	4061846
132	20246	4082092
133	18469	4100561
134	16530	4117091
135	14783	4131874
136	12797	4144671
137	12320	4156991
138	15570	4172561
139	18708	4191269
140	16767	4208036
141	14643	4222679
142	16018	4238697
143	13938	4252635
144	11855	4264490
145	12709	4277199
146	10772	4287971
147	14170	4302141
148	11849	4313990
